h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.179787861,0.179026244,0.226962566,0.442651728,0.562796265,0.57414996,0.500712626,0.574962256,0.573176324,0.574962256,0.574962256,0.574952451,0.0,0.465130931,0.620955282,0.804592083,0.999637033,1.0,1.0,1.0,0.790976832,0.49470118,0.0
0.000601045,0.0,0.069734626,0.33998839,0.474800219,0.46183166,0.423945221,0.463600981,0.475577967,0.48195031,0.48342175,0.478748271,0.390695614,0.441143264,0.739647064,0.955769271,1.0,1.0,1.0,0.996818119,0.521383725,0.334957112,0.130676418
0.431221692,0.267217185,0.179871588,0.172737654,0.151493008,0.0,0.563880394,0.555802738,0.574403649,0.573106547,0.573158999,0.576074804,0.573643357,0.574369087,0.730373917,0.848746718,0.862443384,0.862443384,0.99621625,0.999987989,1.0,1.0,1.0
0.436160349,0.257337712,0.179952015,0.173901746,0.244175448,0.0,0.574962256,0.552875788,0.564251389,0.575526366,0.574482657,0.574964467,0.56355478,0.561879066,0.664571693,0.867440877,0.999415559,0.999728178,1.0,1.0,1.0,1.0,0.999358421
0.862553913,0.28732541,0.185616603,0.175996802,0.148653266,0.0,0.525573358,0.585294076,0.823764521,0.862553913,0.74298611,0.739172669,0.721489097,0.765368862,0.913291316,0.999821367,1.0,0.982772502,0.79534592,0.539849111,0.444352404,0.243767013,0.183654012
0.522002926,0.314627519,0.218219823,0.212211057,0.198227033,0.340507821,0.527276992,0.682056206,0.703583217,0.830986812,0.716250595,0.702274614,0.710184514,0.717068411,0.917096024,0.903571217,1.0,0.815096439,0.683556853,0.610982479,0.0,0.252500423,0.206939176
0.1795551,0.17703938,0.253141445,0.474993149,0.573812374,0.570687399,0.566921361,0.574859242,0.572895676,0.567960575,0.572824562,0.576637756,0.564273451,0.583481402,0.832290691,0.99905578,1.0,1.0,1.0,0.782493818,0.443015387,0.0,0.174615927
0.181543603,0.180582797,0.234759732,0.457104761,0.573534413,0.578233469,0.573431192,0.566678446,0.566259612,0.566456448,0.567403785,0.565303287,0.533459184,0.557426193,0.828151099,0.96111861,1.0,1.0,1.0,0.800679085,0.50900732,0.0,0.210860058
1.0,0.333333333,0.207106774,0.204879409,0.195451602,0.329588456,0.553813525,0.652547027,0.79056643,0.833333333,0.833333333,0.668500195,0.664146282,0.828132071,0.994696251,0.883452025,0.841719494,0.717307496,0.65895834,0.635145658,0.0,0.243362546,0.206276241
0.179313154,0.180719727,0.221914332,0.431215767,0.558638661,0.577320867,0.5617929,0.562920003,0.561849419,0.561716287,0.57109809,0.522924986,0.574954356,0.499825503,0.730294608,0.861860281,0.999467101,0.99998626,0.99998626,1.0,0.784615561,0.439874623,0.0
