h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.174002634,0.1817945,0.178889336,0.155451962,0.287481128,0.0,0.0,0.573152572,0.543980369,0.551715661,0.564567297,0.5732014,0.570098278,0.568823669,0.796384088,0.84116734,0.996798545,0.957883786,0.99223642,1.0,1.0,1.0,0.938943785
0.287481128,0.21636753,0.181422677,0.180357027,0.168844871,0.257190839,0.0,0.433769704,0.568577879,0.559372981,0.554705364,0.557571408,0.568215289,0.568730562,0.578150946,0.782069479,0.862443384,0.862443384,0.925415264,0.99999634,1.0,1.0,0.995854143
0.43122649,0.26302594,0.181446662,0.173462159,0.163694393,0.0,0.513617969,0.554425129,0.559177481,0.561719204,0.564855891,0.569116047,0.569485731,0.57343301,0.575499055,0.706155109,0.74773897,0.862443384,0.96335815,0.999990484,1.0,1.0,0.999747025
0.178611839,0.18127576,0.194536777,0.0,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.569009116,0.574935327,0.0,0.443329538,0.608495281,0.774350062,0.862443384,0.973716371,0.999862181,1.0,1.0,1.0,0.888741279
0.001670084,0.0,0.073127181,0.30842452,0.482354475,0.480544522,0.480970109,0.480344656,0.481200808,0.480308949,0.479714471,0.464343729,0.409708847,0.435014899,0.680196454,0.881407085,0.999765936,0.999781047,0.999781047,1.0,0.736357538,0.324858462,0.130925742
0.001278283,0.0,0.111774013,0.479337467,0.485632392,0.613002913,0.528312872,0.467155849,0.477836537,0.477566729,0.480705972,0.475167841,0.465454925,0.476238811,0.731581806,0.991212306,1.0,1.0,1.0,0.809355569,0.462094015,0.395647087,0.132787263
0.0,0.002846511,0.04770818,0.308050857,0.455801844,0.480340836,0.482247398,0.474028578,0.473959875,0.482325607,0.48272462,0.483948252,0.481917624,0.474112083,0.719456953,0.994397835,1.0,1.0,1.0,0.942952508,0.384364509,0.432721011,0.133182796
0.179993861,0.180580189,0.199750326,0.0,0.547940458,0.571892069,0.546669056,0.574863629,0.574863629,0.574863629,0.57367111,0.559867894,0.573092081,0.501058528,0.756719075,0.862639985,0.999828465,0.999828465,0.999828465,0.999828465,0.999828465,0.999828465,1.0
0.181222461,0.18038337,0.256433308,0.514268379,0.660608415,0.722005504,0.533214756,0.576978568,0.577185924,0.574415537,0.567297606,0.57435216,0.573263886,0.606908829,0.808524055,0.996101253,1.0,1.0,0.999994848,0.798000672,0.566453246,0.0,0.244560347
0.181076381,0.178892859,0.258379292,0.574821808,0.75447619,0.823240919,0.71942939,0.56226036,0.575276151,0.575336486,0.571320997,0.570518028,0.574373977,0.603973319,0.860116561,0.99995623,1.0,1.0,0.999994194,0.789250643,0.506639354,0.0,0.221958564
